DatasetID,year1,author1,y:Value,y,dy,x1:ResEn,x1(eV),dx1(eV),x2:IncEn,x2(eV),dx2(eV),x3:SecEn,x3(eV),dx3(eV),x4:Angle,x4(deg),dx4(deg),x5:Num,x5,dx5,x6:Other,x6,dx6,x7:Prod,ProdZA,ProdM,zaTarg1,Targ1,Proj,Emiss,Prod1,MF,MT,ReacType,Quant1,nx,indVars,Reacode
O1968002,2011,V.Foteinou+,Data(B/SR),0.00443,1.8e-4,null,,,EN(EV),8.89e+5,2000,null,,,ANG(ADEG),140,,null,,,null,,,null,,,3006,3-LI-6,D,A,2-HE-4,4,107,DA,DA,2,24,"3-LI-6(D,A)2-HE-4,,DA"
O1968002,2011,V.Foteinou+,Data(B/SR),0.00432,1.7e-4,null,,,EN(EV),9.14e+5,2000,null,,,ANG(ADEG),140,,null,,,null,,,null,,,3006,3-LI-6,D,A,2-HE-4,4,107,DA,DA,2,24,"3-LI-6(D,A)2-HE-4,,DA"
O1968002,2011,V.Foteinou+,Data(B/SR),0.00424,1.7e-4,null,,,EN(EV),9.39e+5,2000,null,,,ANG(ADEG),140,,null,,,null,,,null,,,3006,3-LI-6,D,A,2-HE-4,4,107,DA,DA,2,24,"3-LI-6(D,A)2-HE-4,,DA"
O1968002,2011,V.Foteinou+,Data(B/SR),0.00408,1.6e-4,null,,,EN(EV),9.64e+5,2000,null,,,ANG(ADEG),140,,null,,,null,,,null,,,3006,3-LI-6,D,A,2-HE-4,4,107,DA,DA,2,24,"3-LI-6(D,A)2-HE-4,,DA"
O1968002,2011,V.Foteinou+,Data(B/SR),0.00414,1.7e-4,null,,,EN(EV),9.89e+5,2000,null,,,ANG(ADEG),140,,null,,,null,,,null,,,3006,3-LI-6,D,A,2-HE-4,4,107,DA,DA,2,24,"3-LI-6(D,A)2-HE-4,,DA"
O1968002,2011,V.Foteinou+,Data(B/SR),0.00401,1.6e-4,null,,,EN(EV),1.015e+6,2000,null,,,ANG(ADEG),140,,null,,,null,,,null,,,3006,3-LI-6,D,A,2-HE-4,4,107,DA,DA,2,24,"3-LI-6(D,A)2-HE-4,,DA"
O1968002,2011,V.Foteinou+,Data(B/SR),0.00391,1.7e-4,null,,,EN(EV),1.04e+6,2000,null,,,ANG(ADEG),140,,null,,,null,,,null,,,3006,3-LI-6,D,A,2-HE-4,4,107,DA,DA,2,24,"3-LI-6(D,A)2-HE-4,,DA"
O1968002,2011,V.Foteinou+,Data(B/SR),0.00381,1.7e-4,null,,,EN(EV),1.065e+6,2000,null,,,ANG(ADEG),140,,null,,,null,,,null,,,3006,3-LI-6,D,A,2-HE-4,4,107,DA,DA,2,24,"3-LI-6(D,A)2-HE-4,,DA"
O1968002,2011,V.Foteinou+,Data(B/SR),0.00399,1.7e-4,null,,,EN(EV),1.09e+6,2000,null,,,ANG(ADEG),140,,null,,,null,,,null,,,3006,3-LI-6,D,A,2-HE-4,4,107,DA,DA,2,24,"3-LI-6(D,A)2-HE-4,,DA"
O1968002,2011,V.Foteinou+,Data(B/SR),0.00376,1.6e-4,null,,,EN(EV),1.115e+6,2000,null,,,ANG(ADEG),140,,null,,,null,,,null,,,3006,3-LI-6,D,A,2-HE-4,4,107,DA,DA,2,24,"3-LI-6(D,A)2-HE-4,,DA"
